author,Contributing State,title,Publication Info, genre,Link to text
Marion Vaughn ,Alabama,Mothers in Council,"New York: Harper & Brothers, 1884.","Textbook, Advice Literature",https://books.google.com/books?id=4fkaAAAAYAAJ&
Mary W. Loughborough,Arkansas,My Cave Life in Vicksburg.:[sic] With Letters of Trial and Travel by a Lady,"New York: D. Appleton & Co., 1864.",Memoir,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b
Mary H. Field,California,An Arboreal Song of the Alameda (The Beautiful Way),"San Francisco: The Society, 1878.","Poetry, History",https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t
"Mary O. Stanton, M.O. Stanton",California,Chart for the Delineations of Mental and Physiological Characteristics,"Philadelphia: F.A. Davis, 1890.",Textbook ,
Mrs. N. Furlong,California,"Cozenza: A Tale of Italy, and Other Poems","San Francisco: B.F. Sterrett, 1880.",Poetry,https://books.google.com/books?id=SwkPAAAAIAAJ& 
Mary W. Glascock,California,Dare,"San Francisco: The California Pubishing Company, 1882.",Novel,https://hdl.handle.net/2027/nyp.33433082303953
"Alice Kingsbury, Mrs. Col. F. M. Cooley",California,Ho! For Elf-land!,"San Francisco: A.L. Bancroft, 1877.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x
"Mary O. Stanton, M.O. Stanton",California,"A System of Practical and Scientific Physiognomy; or, How to Read Faces","
Philadelphia: F.A. Davis, 1890.",Textbook,https://archive.org/details/systemofpractica01staniala
M. B. M. Toland,California,Iris: The Romance of an Opal Ring,"Philadelphia: J.B. Lippincott & Co., 1879.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n
M. B. M. Toland,California,Onti Ora: A Metrical Romance,"Philadelphia: J.B. Lippincott & Co., 1881.",Poetry,https://hdl.handle.net/2027/hvd.hnnuyi
"Mrs. A. L. Townsend, Philip Shirley ",California,On the Verge: A Romance of the Centennial,"San Francisco: A.L. Bancroft, 1879.",Novel,https://hdl.handle.net/2027/umn.31951002381337o
"Mary O. Stanton, M.O. Stanton",California,Physiognomy: A Practical and Scientific Treatise,"San Francisco: Printed for the Author, 1881.",Textbook,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22
Ina D. Coolbrith,California,"A Perfect Day, and Other Poems","San Francisco: John H. Carmany & Co, 1881",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234
"Mrs. J. W. Stow, Marietta Lois Beers Stow",California,Probate Confiscation: Unjust Laws which Govern Women,"Boston: Bacon and Company, 1876.","Memoir, Textbook",https://hdl.handle.net/2027/hvd.hn1fsi
"Mrs. J. W. Stow, Marietta Lois Beers Stow",California,"Probate Chaff; Or, Beautiful Probate; Or, Three Years Probating in San Francisco","New York: Sold by the Author, 1879.","Memoir, Textbook",https://books.google.com/books?id=VZc0AQAAMAAJ&
,California,"Programme of Study, Ebell Society of Arts. Sect. No. 4, Greek Art ","Oakland, CA : Pacific Press Pub. House, 1880.",Textbook,
"Alice Kingsbury, Mrs. Col. F. M. Cooley",California,Secrets Told. With Twenty-two Piquant Illustrations from Life,"San Francisco: Alta California Printing House, 1879.","Essays, Stories",https://hdl.handle.net/2027/uc2.ark:/13960/t74t6gg50
"Ella Sterling Cummins, Aurora Esmeralda, J.W. Gally, W.S. Green, Mary Willis Glascock, Wm Atwell Cheney, H.B. McDowell, Ben C. Truman, Harr Wagner",California,Short Stories; By California Authors,"San Francisco: Golden Era Company, 1885.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t6nz81p88
M. B. M. Toland,California,Sir Rae; A Poem,"Philadelphia: J.B. Lippincott & Co., 1877.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t64464w6j
"Mrs. Ella S. Cummins, Aurora Esmeralda ",California,The Little Mountain Princess: a Sierra Snowplant,"Boston: Loring, 1880",Novel,
"Mrs. Ella S. Cummins, Aurora Esmeralda ",California,The Coming Arcada,,,
Marie E. Field,California,The Wings of Courage; Stories for American Boys and Girls,"New York: G.P. Putnam's Sons, 1878.",Stories,https://hdl.handle.net/2027/hvd.hn5haj
Julia Clinton Jones,California,Valhalla; The Myths of Norseland; A Saga in Twelve Parts,"New York: R. Worthington, 1880.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t7xk96r16
H. H.,Colorado,A Century of Dishonor; A Sketch of the United States Government's Dealings with Some of the Indian Tribes,"New York: Harper & Brothers, 1881.","History, Scholarly Work, Report",https://hdl.handle.net/2027/uc1.31175035176117
H. H.,Colorado,Bits of Travel,"Boston: Roberts Brothers, 1886.",Travel Narrative,https://hdl.handle.net/2027/loc.ark:/13960/t10p1r65j
H. H.,Colorado,"Bits of Talk; In Verse and Prose, for Young Folks","Boston: Roberts Brothers, 1876.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/fk1dj58h1r
H. H.,Colorado,Bits of Travel at Home,"Boston: Roberts Brothers, 1878.",Travel Narrative,https://hdl.handle.net/2027/hvd.hwrcdn
H. H.,Colorado,Bits of Talk about Home Matters,"Boston: Roberts Brothers, 1873.","Essays, Advice Literature",https://hdl.handle.net/2027/pst.000012544882
Frank Hall,Colorado,First Annual Report: Denver Chamber of Commerce and Board of Trade,1883,Report,
Jennie L. Hopkins,Colorado,Juanita; and other Sketches,"Denver: The Zalinger Press, 1884.",Stories,https://hdl.handle.net/2027/nyp.33433112008879
H. H.,Colorado,Letters from a Cat; Published by Her Mistress for the Benefit of All Cats and the Amusement of Little Children,"Boston: Roberts Brothers, 1879.",Stories,https://hdl.handle.net/2027/hvd.hn5hi7
H. H.,Colorado,Nelly's Silver Mine; A Story of Colorado Life,"Boston: Roberts Brothers, 1878.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t9668bm5v
H. H.,Colorado,Mammy Tittleback and her Family; A True Story of Seventeen Cats,"Boston: Roberts Brothers, 1881.",Novel,https://hdl.handle.net/2027/njp.32101046516058
H. H.,Colorado,Ramona; A Story,"Boston: Roberts Brothers, 1884.",Novel,https://hdl.handle.net/2027/mdp.39015009132385
H. H.,Colorado,The Hunter Cats of Connorloa,"Boston: Roberts Brothers, 1884.",Novel,https://hdl.handle.net/2027/nyp.33433081580486
H. H.,Colorado,Verses,"Boston: Roberts Brothers, 1872.",Poetry,https://hdl.handle.net/2027/miun.aje0712.0001.001
Alice Polk Hill,Colorado,Tales of the Colorado Pioneers,"Denver: Pierson & Gardner, 1884.","History, Stories",https://hdl.handle.net/2027/yale.39002015879951
"Lucy Catlin Bull, Lucy Catlin Bull Robinson",Connecticut,"A Child's Poems; From October to October, 1870-1871","Hartford: Case, Lockwood & Brainard, 1872.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t1rf5kp46
Ann S. Stephens,Connecticut,A Noble Woman,"Philadelphia: T.B. Peterson & Brothers, 1871.",Novel,https://hdl.handle.net/2027/nyp.33433076021579
Rose Porter,Connecticut,A Song and a Sigh,"New York: Anson D. F. Randolph & Company, 1877.",Novel,https://hdl.handle.net/2027/coo.31924022498574
H. B. Stowe,Connecticut,Agnes of Sorrento,"Boston: Fields, Osgood & Co., 1869.",Novel,https://hdl.handle.net/2027/hvd.hwpa9s
"Edith Beach, E. B.",Connecticut,Among the Daisies,"Hartford: American Publishing Company, 1883.",Poetry,https://hdl.handle.net/2027/hvd.32044046616132
Ann S. Stephens,Connecticut,Bertha's Engagement,"Philadelphia: T.B. Peterson & Brothers, 1875.",Novel,https://hdl.handle.net/2027/nyp.33433076022577
Ann S. Stephens,Connecticut,Bellehood and Bondage,"Philadelphia: T.B. Peterson & Brothers, 1873.",Novel,https://hdl.handle.net/2027/nyp.33433076022585
E. Bedell Benjamin,Connecticut,Brightside,"New York: Robert Carter & Brothers, 1873.",Novel,https://archive.org/details/brightside00benj
E. Bedell Benjamin,Connecticut,The Brightside Children,"New York: Robert Carter & Brothers, 1873.",Novel,https://archive.org/details/brightside00benj/page/n5
Sally Pratt McLean,Connecticut,Cape Cod Folks,"Boston: A. Williams & Company, 1881.",Novel,https://hdl.handle.net/2027/hvd.hn5fuv
Rose Porter,Connecticut,"Charity, Sweet Charity","New York: Anson D. F. Randolph & Company, 1880.",Novel,https://hdl.handle.net/2027/wu.89098003551
Florine T. McCray,Connecticut,Clippings from Newspaper Work,,Periodical,
Georgiana M. Bishop,Connecticut,Conversations on the Christian Seasons (2 vols.),"New York: United States Publishing Company, 1875.",Religious Instruction,
Ann S. Stephens,Connecticut,The Curse of Gold,"Philadelphia: T.B. Peterson & Brothers, 1869.",Novel,https://hdl.handle.net/2027/nyp.33433076022569
Ann S. Stephens,Connecticut,Doubly False,"Philadelphia: T.B. Peterson & Brothers, 1868.",Novel,https://hdl.handle.net/2027/nyp.33433076022551
E. Bedell Benjamin,Connecticut,Eleven Months in Horeb; Being the Period of the National and Religious Education of the Israelites,"New York: Anson D.F. Randolph & Company, 1869.","Textbook, Religious Instruction",https://hdl.handle.net/2027/nnc1.cr59885700
Saray Y. Young,Connecticut,"European Modes of Living, or, the Question of Apartment-Houses","New York: Putnams, 1881.",Scholarly Work,
Ann S. Stephens,Connecticut,Fashion and Famine,"Philadelphia: T.B. Peterson & Brothers, 1854.",Novel,https://hdl.handle.net/2027/hvd.rsl27i
H. Beecher Stowe,Connecticut,Footsteps of the Master,"New York: J.B. Ford & Company, 1877.",Religious Instruction,https://hdl.handle.net/2027/loc.ark:/13960/t5bc54g78
Rose Porter,Connecticut,"Foundations; or, Castles in the Air","New York: Anson D.F. Randolph & Company, 1871.",Novel,
Rose Porter,Connecticut,Foregleams of Immortality; and an In Memoriam,"New York: Anson D.F. Randolph & Company, 1884.",Religious Instruction,https://archive.org/details/foregleamsofimmo00port
I. N. Ingersoll,Connecticut,Gathered Waifs,,Poetry,
Miss Clara J. Stone,Connecticut,Genealogy of the Descendents of Jasper Griffing,"New York: De Baun & Morgenthaler, 1881.","History, Biography",https://archive.org/details/genealogyofdesce00ston
Ann S. Stephens,Connecticut,The Gold Brick,"Philadelphia: T.B. Peterson & Brothers, 1866.",Novel,https://hdl.handle.net/2027/nyp.33433076022536
E. Bedell Benjamin,Connecticut,Hilda and I; A Story of Three Loves,"New York: G.W. Carleton & Company, 1880.",Novel,https://hdl.handle.net/2027/nyp.33433074835509
Frances M. Calkins,Connecticut,"History of Norwich, Connecticutt; From its Settlement in 1660, to January 1845","Hartford, CT: Published by the Author, 1866.",History,https://hdl.handle.net/2027/nyp.33433081924338
Ellen D. Larned,Connecticut,"History of Windham County, Connecticutt","Worcester, MA: Published by the Author, 1874.",History,https://hdl.handle.net/2027/hvd.32044024590689
"H. Beecher Stowe, Christopher Crowfield ",Connecticut,House and Home Papers,"Boston: Ticknor & Fields, 1865.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t57d2r194
Rose Porter,Connecticut,In the Mist,"New York: Anson D.F. Randolph, 1879.",Novel,https://archive.org/stream/inmist00portgoog?ref=ol#page/n0/mode/2up
Rose Porter,Connecticut,In the Shadow of His Hand; Thoughts for Lonely Hours,"New York: Anson D.F. Randolph, 1882.",Religious Instruction,https://hdl.handle.net/2027/loc.ark:/13960/t13n3mj47
Mary B. Cheney,Connecticut,Life and Letters of Horace Bushnell,"New York: Harper & Brothers, 1880.",Biography,https://hdl.handle.net/2027/wu.89069911410
"Mrs. H. B. Stowe, Christopher Crowfield ",Connecticut,Little Foxes,"Boston: Ticknor & Fields, 1866.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t7sn09h77
Ann S. Stephens,Connecticut,Lord Hope's Choice,"Philadelphia: T.B. Peterson & Brothers, 1873",Novel,https://hdl.handle.net/2027/hvd.hn1lsv
Ann S. Stephens,Connecticut,Married in Haste,"Philadelphia: T.B. Peterson & Brothers, 1870.",Novel,https://hdl.handle.net/2027/nyp.33433076021595
Ann S. Stephens,Connecticut,Mabel's Mistake,"Philadelphia: T.B. Peterson & Brothers, 1868.",Novel,https://hdl.handle.net/2027/nyp.33433076022510
Ann S. Stephens,Connecticut,"Mary Derwent, A Novel","Philadelphia: T.B. Peterson & Brothers, 1858.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t14m92975
Lucretia C. Spenser,Connecticut,Mental and Moral Philosophy,,,
Julia E. Smith,Connecticut,Mother's Poems; Selections from the Poems of Mrs. Hannah H. Smith,"Hartford: Lockwood & Brainard Company, 1881.",Poetry,https://hdl.handle.net/2027/wu.89104493424
Mrs. H. B. Stowe,Connecticut,Mrs. Stowe's Religious Poems,"Boston: Ticknor & Fields, 1867.",Poetry,http://www.gutenberg.org/files/44778/44778-h/44778-h.htm
Mrs. H. B. Stowe,Connecticut,Oldtown Folks,"Boston: Fields, Osgood & Co., 1869.",Novel,https://hdl.handle.net/2027/hvd.32044010678829
Mrs. H. B. Stowe,Connecticut,Nina Gordon; A Tale of the Great Dismal Swamp,"Boston: Ticknor & Fields, 1866.",Novel,https://hdl.handle.net/2027/uc1.31175016725940
Ann S. Stephens,Connecticut,Nortson's Rest,"Philadelphia: T.B. Peterson & Brothers, 1877.",Novel,https://hdl.handle.net/2027/nyp.33433076021561
Rose Porter,Connecticut,Our Saints: A Family Story,"New York: A.D.F. Randolph, 1881.",Novel,
Ann S. Stephens,Connecticut,Palaces and Prisons,"Philadelphia: T.B. Peterson & Brothers, 1871.",Novel,https://hdl.handle.net/2027/nyp.33433076021678
Mrs. H. B. Stowe ,Connecticut,Palmetto Leaves,"Boston: J.R. Osgood & Company, 1873.",Memoir,https://hdl.handle.net/2027/uva.x002044860
Mrs. H. B. Stowe,Connecticut,Pink and White Tyranny; A Society Novel,"Boston: Roberts Brothers, 1871.",Novel,https://hdl.handle.net/2027/miun.aan5713.0001.001
Mrs. L. H. Sigourney,Connecticut,Past Meridian,"Hartford: F. A. Brown, 1856.",Essays,https://hdl.handle.net/2027/hvd.hn1jn5
Mrs. Barrett,Connecticut,The Poems of Elizabeth G. Barber Barrett,"New York: Hurd and Houghton, 1866.",Poetry,https://books.google.com/books?id=mKxcAAAAcAAJ&
Martha Russell,Connecticut,Righted at Last; A Novel,"New York: D. Appleton & Co., 1872.",Novel,https://hdl.handle.net/2027/loc.ark:/13960/t3ws9jr5x
Ann S. Stephens,Connecticut,Ruby Gray's Strategy,"Philadelphia: T.B. Peterson & Brothers, 1869.",Novel,https://hdl.handle.net/2027/nyp.33433076021637
Mrs. H. B. Stowe,Connecticut,Sam Lawson's Oldtown Fireside Stories,"Boston: J.R. Osgood & Company, 1871.",Stories,https://hdl.handle.net/2027/coo1.ark:/13960/t6sx6vj34
Martha Russell,Connecticut,"Sibyl Monroe, the Forger's Daughter; Or, Out of the Shadow into the Sun","Boston: L.P. Crown and Company, 1859.",Novel,https://hdl.handle.net/2027/osu.32435055431969
Ann S. Stephens,Connecticut,Silent Struggles,"Philadelphia: T.B. Peterson & Brothers, 1865.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t1ng4h12x
Sally Pratt McLean,Connecticut,Some Other Folks,"Boston: Cupples, Upham and Company, 1884.",Novel,https://hdl.handle.net/2027/nyp.33433112002625
Rose Terry Cooke,Connecticut,Somebody's Neighbors,"Boston: J.R. Osgood and Company, 1881.",Stories,https://hdl.handle.net/2027/coo.31924022022036
Rose Porter,Connecticut,Summer Drift-wood for the Winter Fire,"New York: Anson D.F. Randolph, 1870.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t0pr7n15z
"Mrs. H. B. Stowe, Christopher Crowfield",Connecticut,The Chimney-Corner,"Boston: Ticknor & Fields, 1868.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t83j3bj78
E. Bedell Benjamin,Connecticut,"The Church in the Wilderness; or, From Horeb to Canaan; A Continuation of the National and Religious Education of the Israelites","New York: Anson D. F. Randolph & Company, 1872.","Textbook, Religious Instruction",https://hdl.handle.net/2027/nnc1.cr60001356
J. H. Ingersoll,Connecticut,The Coming of the Angel,,,
Mrs. L. H. Sigourney,Connecticut,The Daily Counsellor,"Hartford: Brown and Gross, 1859.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t53f5jh95
Julia E. Smith ,Connecticut,The Holy Bible,"Hartford: American Publishing Company, 1876.",Religious Instruction,
H. B. Stowe and C. E. Beecher,Connecticut,"The New Housekeeper's Manual; Embracing a New Revised Edition of the American Woman's Home; or, Principles of Domestic Science; Being a Guide to Economical, Healthful, Beautiful, and Christian Homes","New York: J.B. Ford and Company, 1873.","Advice Literature, Textbook, Cookbook",https://hdl.handle.net/2027/uiuc.2059703_001
Mrs. H. B. Stowe,Connecticut,The Minister's Wooing,"New York: Derby and Jackson, 1859.",Novel,https://hdl.handle.net/2027/miun.aax3517.0001.001
Mrs. H. B. Stowe,Connecticut,The Pearl of Orr's Island; A Story of the Coast of Maine,"Boston: Ticknor and Fields, 1862.",Novel,http://www.gutenberg.org/ebooks/31522
Mrs. H. B. Stowe,Connecticut,"The Mayflower; and Miscellaneous Writings; or, Sketches of Scenes and Characters Among the Descendants of the Pilgrims","New York: Harper & Brothers, 1843.",Stories,https://hdl.handle.net/2027/hvd.hn5f1d
Ann S. Stephens,Connecticut,The Reigning Belle,"Philadelphia: T.B. Peterson & Brothers, 1885.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t3tt4q52r
Ann S. Stephens,Connecticut,"The Old Countess; or, The Two Proposals; A Sequel to ""Lord Hope's Choice""","Philadelphia: T.B. Peterson & Brothers, 1873.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t1hh6dg5t
Ann S. Stephens,Connecticut,The Heiress; An Autobiography,"Philadelphia: T.B. Peterson & Brothers, 1857.",Novel,https://hdl.handle.net/2027/nyp.33433076022528
Ann S. Stephens,Connecticut,The Wife's Secret,"Philadelphia: T.B. Peterson & Brothers, 1864.",Novel,https://hdl.handle.net/2027/umn.31951002100241w
Ann S. Stephens,Connecticut,The Old Homestead,"Philadelphia: T.B. Peterson & Brothers, 1886.",Novel,https://hdl.handle.net/2027/hvd.32044010334217
Ann S. Stephens,Connecticut,The Rejected Wife,"Philadelphia: T.B. Peterson & Brothers, 1863.",Novel,https://hdl.handle.net/2027/hvd.hn1nen
Ann S. Stephens,Connecticut,The Soldier's Orphans,"Philadelphia: T.B. Peterson & Brothers, 1866.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t0ns0mt6q
,Connecticut,"The United States at the International Exhibition at Melbourne, 1880",,"Reference, Report",
Rose Porter,Connecticut,"The Winter Fire; A Sequel to ""Summer Drift-Wood""","New York: Anson D.F. Randolph & Company, 1874.",Novel,https://hdl.handle.net/2027/hvd.hxdpbn
Rose Porter,Connecticut,The Story of a Flower and other Fragments Twice Gathered,"New York: Anson D.F. Randolph & Company, 1883.",Stories,
Rose Porter,Connecticut,The Years that are Told,"New York: Anson D.F. Randolph & Company, 1875.",Novel,https://hdl.handle.net/2027/uva.x030805807
Mary Chapman,Connecticut,The Theory of Morals,"New York: Charles Scribner's Sons, 1883.",Essays,https://hdl.handle.net/2027/hvd.hnauj3
Sally Pratt McLean,Connecticut,Towhead; The Story of a Girl,"Boston: De Wolfe, Fiske & Company, 1882.",Novel,https://hdl.handle.net/2027/uc1.31175021429215
Mrs. H. B. Stowe,Connecticut,"Uncle Tom's Cabin; or, Life among the Lowly","Boston: John P. Jewett & Company, 1852.",Novel,https://hdl.handle.net/2027/hvd.hwpaa7
Rose Porter,Connecticut,"Uplands and Lowlands; or, Three Chapters in a Life","New York: Anson D.F. Randolph & Company, 1872.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t3125qr7f
Celia B. Whitehead,Connecticut,What's the Matter?,"Southington, CT: Published by Author, 1880 (second edition).",Advice Literature ,http://pds.lib.harvard.edu/pds/view/2574268?n=1
Florine T. McCray,Connecticut,Wheels and Whims; An Etching,"Boston: Cupples, Upham & Company, 1884.",Novel,https://hdl.handle.net/2027/mdp.39015021236016
Ann S. Stephens,Connecticut,"Wives and Widows; or, The Broken Life","Philadelphia: T.B. Peterson & Brothers, 1869.",Novel,https://hdl.handle.net/2027/nyp.33433076021918
S. A. Scull,District of Columbia,Greek Mythology Systematized,"Philadelphia: Porter & Coates, 1880.",Textbook,https://hdl.handle.net/2027/hvd.hn3mes
Jane W. Gemmill,District of Columbia,"Notes on Washington; or, Six Years at the National Capital","Philadelphia: E. Claxton & Company, 1884.",Travel Narrative,https://hdl.handle.net/2027/loc.ark:/13960/t6d226w55
Josie N. Faut,District of Columbia,Type-Writing,,Textbook,
Jane R. Griffing,Florida,"Letters from Florida; on the Scenery, Climate, Social and Material Conditions, and Practical Advantages of the ""Land of Flowers""","Lancaster: The Republican, 1883.",Travel Narrative,https://hdl.handle.net/2027/loc.ark:/13960/t8x92gx1m
Ellen Call Long,Florida,Silk Farming,"Philadelphia: Press of J. Glover, 1884.",Textbook,https://hdl.handle.net/2027/hvd.32044107237646
Ellen Call Long,Florida,The Battles of New Orleans; Jackson and Packenham,"New Orleans: E.A. Brandao & Company, 1885.",History,https://www.floridamemory.com/items/show/267542
Ladies of Des Moines Plymouth Church,Iowa,"""76""; A Cook Book, edited by the Ladies of Plymouth Church, Des Moines, Iowa","Des Moines: Mills & Company, 1876.",Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t22b99h84
M. A. and E. A. Henderson,Iowa,German Pronouncer: A New Method of Learning the German Language,"Salem, Iowa: Published by the authors, 1876.",Textbook,
Mrs. E. R. Shepherd,Iowa,For Girls; A Special Physiology; Being a Supplement to the Study of General Physiology,"New York: Fowler & Wells, 1882.",Textbook,https://hdl.handle.net/2027/hvd.hn1cp5
"Mrs. Mai M. Wetmore, Oaks",Iowa,Wee Folk; of No-Man's Land,"Chicago: Shepard & Johnston, 1883.",Novel,https://hdl.handle.net/2027/osu.32435018186643
Louise Maertz,Illinois,A New Method for the Study of English Literature,"Chicago: S.C. Griggs & Company, 1879.",Textbook,https://hdl.handle.net/2027/pst.000006208875
"Mrs. L. H. Corr, M. D.",Illinois,A Partial Report on Gynecology,,Scholarly Work,
Alice B. Engle,Illinois,A Story of Four Acorns,"Boston: D. Lothrop & Co., 1881.",Novel,
"Mrs. H. D. Boyden, Sr. ",Illinois,Auntie Em's Songs for Children,Chicago: Union Publishing Company. 1882.,Music,
Mrs. J. F. Willing,Illinois,Chaff and Wheat,,"Religious Instruction, Essays",
Mrs. J. F. Willing,Illinois,Diamond Dust,"New York: Phillips & Hunt, 1880.","Relgious Instruction, Essays",https://hdl.handle.net/2027/loc.ark:/13960/t6k08dq7h
Miss E. S. Kirkland,Illinois,Dora's Housekeeping,"Chicago: Jansen, McClurg & Company, 1878.",Novel,https://hdl.handle.net/2027/mdp.39015039603041
Every Monday Club,Illinois,Every Monday Papers (Chicago),,,
"Helen W. Boyden, Sr. ",Illinois,"First Reader, Student's Series","Chicago: Geo. Sherwood and Co., 1886.",Textbook,
Rose Hartwick Thorpe,Illinois,Fred's Dark Days,"New Jersey: Fleming H. Revell, 1881.",Poetry,
Frances E. Willard,Illinois,Hints and Helps in Our Temperance Work,"New York: The National Temperance Society and Publication House, 1875.",Advice Literature,https://collections.nlm.nih.gov/ext/dw/9605531/PDF/9605531.pdf
"Mattie W. Trippe (revised by Samuel P. Hedges, M.D.)",Illinois,Home Treatment for Children with Lessons on Moral Training,"Chicago: Blakely, Marsh & Company, 1881.","Textbook, Advice Literature",https://hdl.handle.net/2027/loc.ark:/13960/t3hx2gx64
"Mrs. L. H. Corr, M. D.",Illinois,Hygiene and Heredity,The Union Signal (paper/journal),Scholarly Work,
Janet Miller,Illinois,Kin-Folk (Enchanted Library for Young Folks),"New York: The Author's Publishing Company, 1879.",Novel,
Mrs. H. M. Holmes,Illinois,Leaflets from Native Woods,"Cambridge: B.W. Seaton, Printer, 1883.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t3kw5zs0n
Stella Brewer (Mrs. W. M. Brewer),Illinois,Leaves: a Collection of Short Poems,"Chicago: Donnelley, Gassette & Loyd 1881",Poetry,https://hdl.handle.net/2027/nyp.33433075836431
Mrs. S. P. Wheeler,Illinois,"Louise de Bruneval, a Romance from the French","New York: J.S. Ogilvie & Company, 1882.",Novel,
Mrs. A. M. Fitch,Illinois,Madeline,,,
Mrs. H. B. Manford,Illinois,Manford's Magazine; Volume 29,"Chicago: Published by the Author, 1885.",Periodical,https://hdl.handle.net/2027/mdp.39015069385253
Frances E. Owens,Illinois,Mrs. Owens' Cookbook; and Useful Hints for the Household,"Chicago: Household Publishing Society, 1882.",Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t0dv26621
Frances E. Willard,Illinois,Nineteen Beautiful Years,"London: White Ribbon Publishing Company, 1885.","Biography, Memoir",https://hdl.handle.net/2027/uc2.ark:/13960/t3bz63c2s
"Mrs. L. H. Corr, M. D.",Illinois,Obstetrics; Reduced to Questions and Answers,"Chicago: D.B. Cooke & Company, 1878.","Textbook, Advice Literature",https://collections.nlm.nih.gov/bookviewer?PID=nlm:nlmuid-67211090R-bk#page/8/mode/2up
Mary A. Lathbury,Illinois,Out of Darkness into Light; Poems and Drawings,"Boston: D. Lothrop & Co., 1878.",Poetry,https://hdl.handle.net/2027/chi.088055770
"Mrs. L. H. Corr, M. D.",Illinois,Pathology and Therapeutics of the Puerperal State,,Scholarly Work,https://books.google.com/books?id=QZNXAAAAMAAJ&pg=PA188&lpg=PA188&dq=Lucinda+Corr+%22pathology+and+therapeutics%22&source=bl&ots=5GqPw5l6RY&sig=ACfU3U0w3lGXnnmIQKA-XyTgghHYGizJUQ&hl=en&sa=X&ved=2ahUKEwjo4c-I3Z_nAhXBXc0KHaMlAjkQ6AEwAHoECAgQAQ#v=onepage&q=Lucinda%20Corr%20%22pathology%20and%20therapeutics%22&f=false
Mrs. Mary Wood,Illinois,"Pebbles Gathered by the Wayside; A Monthly Visitor, Devoted to Temperance, Truth and Virtue",,"Stories, Essays, Advice Literature, Religious Instruction",https://archive.org/details/pebblesgatheredb00wood
Eliza Allen Starr,Illinois,Pilgrims and Shrines,"Chicago: Published by the Author, 1885.",Travel Narrative,https://hdl.handle.net/2027/nnc1.cu56813414
Ullie R. Akerstrom,Illinois,Poems by Ullie,"Chicago: Published by the Author, 1884.",Poetry,https://hdl.handle.net/2027/wu.89098868680
Mrs. E. J. Clemens and Mrs. J. F. Willing,Illinois,Rosario,"New York: Phillips & Hunt, 1883.",Memoir,https://hdl.handle.net/2027/chi.083031276
Mrs. Thomas Kent,Illinois,Scriptural Text,,Religious Instruction,
Lizzie Campbell Smith,Illinois,Sea Fancies (manuscript),,Manuscript,
Rebecca R. Springer,Illinois,Self,,Novel,
Miss E. S. Kirkland,Illinois,A Short History of France for Young People,"Chicago: Jansen, McClurg, 1879.","History, Textbook",https://hdl.handle.net/2027/hvd.hn1hsl
Miss E. S. Kirkland,Illinois,Speech and Manners for Home and School,"Chicago: Jansen, McClurg, 1884.",Textbook,https://hdl.handle.net/2027/hvd.32044044471464
Miss E. S. Kirkland,Illinois,"Six Little Cooks; or, Aunt Jane's Cooking Class","Chicago: Jansen, McClurg, 1877.","Stories, Textbook, Cookbook",https://hdl.handle.net/2027/hvd.hn5haa
Mrs. Mary H. Villars,Illinois,"Stories of Home and Home Folks; or, Leaves from a Parsonage Portfolio","Cincinatti: Walden & Stowe, 1882.",Stories ,https://hdl.handle.net/2027/uc2.ark:/13960/t8kd1s91t
Mrs. Thomas Kent,Illinois,Temperance Cards,,Advice Literature,
M. Anna Smith,Illinois,The Chicago Free Christian Kindergarten,,Manuscript,
Lizzie Campbell Smith,Illinois,The Dirge of the Pines ,,"Poetry, Manuscript",
"Mrs. M. S. Carnduff, Knights",Illinois,The Golden Gift; Poems and Essays,"Chicago: Fairbanks, Palmer & Company, 1882.","Poetry, Essays",
